Date,Open,High,Low,Close,Volume,Return,MA5,MA10,MA20,Price_Change,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,Target
2020-05-25,-1.8760530256852674,-1.8804369283878126,-1.900584564445002,-1.8641241124237191,-0.24789891147506288,0.0,-1.8425089316528591,-1.9039051253177715,-1.9270304927497224,0.2041401823300697,-0.2749860968800298,-0.1664632844444299,-0.11829521453065851,-2.0149465259045036,-1.897007536926354,0
2020-05-26,-1.8488816222330289,-1.8533716411276473,-1.8697509537803279,-1.8430674717089401,0.09199783631563187,0.5889504537368799,-1.8377315984365445,-1.9035964829761522,-1.927814731542275,0.068046739044187,-0.1320740283402017,-0.1615731504063115,-0.1284128842258829,-2.0160951174881854,-1.8974405387621829,1
2020-05-27,-1.836805373726449,-1.8503642183811835,-1.8574174254735958,-1.8370511731893242,-0.41305888257212575,0.16628165681809295,-1.8347456899670738,-1.9039051253177715,-1.927814731542275,-0.06804674671287077,-0.1545984514111112,-0.15269793878547663,-0.13468063947975906,-2.0160951174881854,-1.8974405387621829,1
2020-05-28,-1.8277488482906858,-1.8473575056806417,-1.872834592551126,-1.852091919488364,-0.16880243896512237,-0.4143020577759659,-1.8389259217127198,-1.9032878613654796,-1.929383230198589,-0.6124205469902091,-0.2579814924518857,-0.15973481228465838,-0.1411429227893294,-2.0183417121952547,-1.8983613058733932,0
2020-05-29,-1.8669959924237833,-1.883444148633919,-1.8913345738137104,-1.8641241124237191,2.3047733928072254,-0.3342488963985936,-1.8389259217127198,-1.9069914658101763,-1.9333044873749783,0.0,-0.5026113114343181,-0.17645348188150778,-0.14975319158080222,-2.0300094790613454,-1.894117948749782,0
2020-06-01,-1.854919645436734,-1.8593860826452222,-1.8697509537803279,-1.8430674717089401,0.18619648742114198,0.5889504537368799,-1.834745730078687,-1.9035965037070994,-1.9331476332951054,0.20414021713256952,-0.08699440756142877,-0.17081308585778512,-0.15548070084684887,-2.0298292197433065,-1.8939778381221608,1
2020-06-02,-1.8428433976106224,-1.8533714394788763,-1.8543340943900257,-1.8370511731893242,-0.34580352081935395,0.16628165681809295,-1.8335513666908982,-1.9005101424837472,-1.9328339251353588,0.06804674671287077,-0.13359581439083054,-0.16124377846920515,-0.15809349364857447,-2.029299420435608,-1.8938807173552923,1
2020-06-03,-1.8186914107999963,-1.8323210004574653,-1.8420008803579067,-1.8099788401107446,1.601302783855177,0.7457158760777498,-1.828176932003916,-1.8961892533558125,-1.9312654264790448,0.13609348525700876,0.26272453492995573,-0.12976954151126574,-0.15370681950489945,-2.024067532977939,-1.896188957757715,1
2020-06-04,-1.788501502031977,-1.8022489999927231,-1.805001122166641,-1.7798985598242956,0.7047808719006112,0.8161835011079542,-1.8138450125781986,-1.890942540857755,-1.9285990124772456,0.13609346982373496,0.26272197423133825,-0.07878616930482568,-0.13970589523624488,-2.0114909371344023,-1.9040960501217317,1
2020-06-05,-1.7673685261298084,-1.766162457875491,-1.7803345838474078,-1.7468101302780386,0.5317213493648246,0.8831352221566652,-1.7905556886369727,-1.8789058834225962,-1.9242072668104675,0.4082803866700686,0.9520882893096355,-0.010392732237933421,-0.1144308503339508,-1.9902798654628866,-1.9176567123735144,1
